Countries and areas,OOSR,Age_group,Gender,High_OOSR,Region
Afghanistan,0,Primary,Female,0,Asia
Albania,3,Primary,Female,0,Europe
Algeria,0,Primary,Female,0,Africa
Andorra,0,Primary,Female,0,Europe
Angola,0,Primary,Female,0,Africa
Anguilla,0,Primary,Female,0,Americas
Antigua and Barbuda,1,Primary,Female,0,Americas
Argentina,0,Primary,Female,0,Americas
Armenia,9,Primary,Female,0,Asia
Australia,0,Primary,Female,0,Oceania
Austria,0,Primary,Female,0,Europe
Azerbaijan,7,Primary,Female,0,Asia
The Bahamas,0,Primary,Female,0,Americas
Bahrain,3,Primary,Female,0,Asia
Bangladesh,0,Primary,Female,0,Asia
Barbados,2,Primary,Female,0,Americas
Belarus,2,Primary,Female,0,Europe
Belgium,0,Primary,Female,0,Europe
Belize,1,Primary,Female,0,Americas
Benin,10,Primary,Female,0,Africa
Bhutan,2,Primary,Female,0,Asia
Bolivia,5,Primary,Female,0,Americas
Bosnia and Herzegovina,0,Primary,Female,0,Europe
Botswana,10,Primary,Female,0,Africa
Brazil,1,Primary,Female,0,Americas
British Virgin Islands,3,Primary,Female,0,Americas
Brunei,0,Primary,Female,0,Asia
Bulgaria,13,Primary,Female,0,Europe
Burkina Faso,22,Primary,Female,0,Africa
Burundi,6,Primary,Female,0,Africa
Cape Verde,7,Primary,Female,0,Africa
Cambodia,9,Primary,Female,0,Asia
Cameroon,13,Primary,Female,0,Africa
Canada,0,Primary,Female,0,Americas
Central African Republic,0,Primary,Female,0,Africa
Chad,35,Primary,Female,0,Africa
Chile,2,Primary,Female,0,Americas
China,0,Primary,Female,0,Asia
Colombia,2,Primary,Female,0,Americas
Comoros,18,Primary,Female,0,Africa
Republic of the Congo,16,Primary,Female,0,Africa
Cook Islands,2,Primary,Female,0,Oceania
Costa Rica,3,Primary,Female,0,Americas
Ivory Coast,8,Primary,Female,0,Africa
Croatia,0,Primary,Female,0,Europe
Cuba,1,Primary,Female,0,Americas
Cyprus,1,Primary,Female,0,Asia
Czech Republic,0,Primary,Female,0,Europe
North Korea,0,Primary,Female,0,Asia
Democratic Republic of the Congo,0,Primary,Female,0,Africa
Denmark,0,Primary,Female,0,Europe
Djibouti,35,Primary,Female,0,Africa
Dominica,3,Primary,Female,0,Americas
Dominican Republic,4,Primary,Female,0,Americas
Ecuador,0,Primary,Female,0,Americas
Egypt,0,Primary,Female,0,Africa
El Salvador,13,Primary,Female,0,Americas
Equatorial Guinea,55,Primary,Female,1,Africa
Eritrea,50,Primary,Female,0,Africa
Estonia,2,Primary,Female,0,Europe
Eswatini,17,Primary,Female,0,Africa
Ethiopia,18,Primary,Female,0,Africa
Fiji,1,Primary,Female,0,Oceania
Finland,1,Primary,Female,0,Europe
France,0,Primary,Female,0,Europe
