Countries and areas,OOSR,Age_group,Gender,High_OOSR,Region
Afghanistan,0,Lower_Secondary,Male,0,Asia
Albania,6,Lower_Secondary,Male,0,Europe
Algeria,0,Lower_Secondary,Male,0,Africa
Andorra,0,Lower_Secondary,Male,0,Europe
Angola,0,Lower_Secondary,Male,0,Africa
Anguilla,0,Lower_Secondary,Male,0,Americas
Antigua and Barbuda,1,Lower_Secondary,Male,0,Americas
Argentina,0,Lower_Secondary,Male,0,Americas
Armenia,11,Lower_Secondary,Male,0,Asia
Australia,2,Lower_Secondary,Male,0,Oceania
Austria,1,Lower_Secondary,Male,0,Europe
Azerbaijan,0,Lower_Secondary,Male,0,Asia
The Bahamas,23,Lower_Secondary,Male,0,Americas
Bahrain,7,Lower_Secondary,Male,0,Asia
Bangladesh,0,Lower_Secondary,Male,0,Asia
Barbados,7,Lower_Secondary,Male,0,Americas
Belarus,1,Lower_Secondary,Male,0,Europe
Belgium,1,Lower_Secondary,Male,0,Europe
Belize,9,Lower_Secondary,Male,0,Americas
Benin,27,Lower_Secondary,Male,0,Africa
Bhutan,18,Lower_Secondary,Male,0,Asia
Bolivia,13,Lower_Secondary,Male,0,Americas
Bosnia and Herzegovina,0,Lower_Secondary,Male,0,Europe
Botswana,0,Lower_Secondary,Male,0,Africa
Brazil,2,Lower_Secondary,Male,0,Americas
British Virgin Islands,8,Lower_Secondary,Male,0,Americas
Brunei,0,Lower_Secondary,Male,0,Asia
Bulgaria,12,Lower_Secondary,Male,0,Europe
Burkina Faso,48,Lower_Secondary,Male,0,Africa
Burundi,36,Lower_Secondary,Male,0,Africa
Cape Verde,14,Lower_Secondary,Male,0,Africa
Cambodia,12,Lower_Secondary,Male,0,Asia
Cameroon,33,Lower_Secondary,Male,0,Africa
Canada,0,Lower_Secondary,Male,0,Americas
Central African Republic,0,Lower_Secondary,Male,0,Africa
Chad,55,Lower_Secondary,Male,1,Africa
Chile,5,Lower_Secondary,Male,0,Americas
China,0,Lower_Secondary,Male,0,Asia
Colombia,6,Lower_Secondary,Male,0,Americas
Comoros,20,Lower_Secondary,Male,0,Africa
Republic of the Congo,0,Lower_Secondary,Male,0,Africa
Cook Islands,4,Lower_Secondary,Male,0,Oceania
Costa Rica,3,Lower_Secondary,Male,0,Americas
Ivory Coast,41,Lower_Secondary,Male,0,Africa
Croatia,3,Lower_Secondary,Male,0,Europe
Cuba,10,Lower_Secondary,Male,0,Americas
Cyprus,2,Lower_Secondary,Male,0,Asia
Czech Republic,1,Lower_Secondary,Male,0,Europe
North Korea,0,Lower_Secondary,Male,0,Asia
Democratic Republic of the Congo,0,Lower_Secondary,Male,0,Africa
Denmark,0,Lower_Secondary,Male,0,Europe
Djibouti,48,Lower_Secondary,Male,0,Africa
Dominica,3,Lower_Secondary,Male,0,Americas
Dominican Republic,6,Lower_Secondary,Male,0,Americas
Ecuador,6,Lower_Secondary,Male,0,Americas
Egypt,3,Lower_Secondary,Male,0,Africa
El Salvador,17,Lower_Secondary,Male,0,Americas
Equatorial Guinea,0,Lower_Secondary,Male,0,Africa
Eritrea,32,Lower_Secondary,Male,0,Africa
Estonia,2,Lower_Secondary,Male,0,Europe
Eswatini,3,Lower_Secondary,Male,0,Africa
Ethiopia,45,Lower_Secondary,Male,0,Africa
Fiji,0,Lower_Secondary,Male,0,Oceania
Finland,1,Lower_Secondary,Male,0,Europe
France,1,Lower_Secondary,Male,0,Europe
Gabon,0,Lower_Secondary,Male,0,Africa
The Gambia,0,Lower_Secondary,Male,0,Africa
Georgia,1,Lower_Secondary,Male,0,Asia
Germany,6,Lower_Secondary,Male,0,Europe
Ghana,13,Lower_Secondary,Male,0,Africa
Greece,3,Lower_Secondary,Male,0,Europe
Grenada,0,Lower_Secondary,Male,0,Americas
Guatemala,30,Lower_Secondary,Male,0,Americas
Guinea,43,Lower_Secondary,Male,0,Africa
Guinea0Bissau,0,Lower_Secondary,Male,0,Africa
Guyana,0,Lower_Secondary,Male,0,Americas
Haiti,0,Lower_Secondary,Male,0,Americas
Vatican City,0,Lower_Secondary,Male,0,Europe
Honduras,44,Lower_Secondary,Male,0,Americas
Hungary,3,Lower_Secondary,Male,0,Europe
Iceland,1,Lower_Secondary,Male,0,Europe
India,18,Lower_Secondary,Male,0,Asia
Indonesia,19,Lower_Secondary,Male,0,Asia
Iran,3,Lower_Secondary,Male,0,Asia
Iraq,0,Lower_Secondary,Male,0,Asia
Republic of Ireland,0,Lower_Secondary,Male,0,Europe
Israel,0,Lower_Secondary,Male,0,Asia
Italy,2,Lower_Secondary,Male,0,Europe
Jamaica,19,Lower_Secondary,Male,0,Americas
Japan,0,Lower_Secondary,Male,0,Asia
Jordan,29,Lower_Secondary,Male,0,Asia
Kazakhstan,0,Lower_Secondary,Male,0,Asia
Kenya,0,Lower_Secondary,Male,0,Africa
Kiribati,0,Lower_Secondary,Male,0,Oceania
Kuwait,9,Lower_Secondary,Male,0,Asia
Kyrgyzstan,2,Lower_Secondary,Male,0,Asia
Laos,27,Lower_Secondary,Male,0,Asia
Latvia,1,Lower_Secondary,Male,0,Europe
Lebanon,0,Lower_Secondary,Male,0,Asia
Lesotho,21,Lower_Secondary,Male,0,Africa
Liberia,17,Lower_Secondary,Male,0,Africa
Libya,0,Lower_Secondary,Male,0,Africa
Liechtenstein,1,Lower_Secondary,Male,0,Europe
Lithuania,0,Lower_Secondary,Male,0,Europe
Luxembourg,4,Lower_Secondary,Male,0,Europe
Madagascar,31,Lower_Secondary,Male,0,Africa
Malawi,19,Lower_Secondary,Male,0,Africa
Malaysia,15,Lower_Secondary,Male,0,Asia
Maldives,0,Lower_Secondary,Male,0,Asia
Mali,49,Lower_Secondary,Male,0,Africa
Malta,2,Lower_Secondary,Male,0,Europe
Marshall Islands,33,Lower_Secondary,Male,0,Oceania
Mauritania,31,Lower_Secondary,Male,0,Africa
Mauritius,6,Lower_Secondary,Male,0,Africa
Mexico,9,Lower_Secondary,Male,0,Americas
Federated States of Micronesia,15,Lower_Secondary,Male,0,Oceania
Monaco,0,Lower_Secondary,Male,0,Europe
Mongolia,8,Lower_Secondary,Male,0,Asia
Montenegro,8,Lower_Secondary,Male,0,Europe
Montserrat,0,Lower_Secondary,Male,0,Americas
Morocco,8,Lower_Secondary,Male,0,Africa
Mozambique,39,Lower_Secondary,Male,0,Africa
Myanmar,22,Lower_Secondary,Male,0,Asia
Namibia,0,Lower_Secondary,Male,0,Africa
Nauru,13,Lower_Secondary,Male,0,Oceania
Nepal,4,Lower_Secondary,Male,0,Asia
Netherlands,3,Lower_Secondary,Male,0,Europe
New Zealand,1,Lower_Secondary,Male,0,Oceania
Nicaragua,0,Lower_Secondary,Male,0,Americas
Niger,61,Lower_Secondary,Male,1,Africa
Nigeria,0,Lower_Secondary,Male,0,Africa
Niue,0,Lower_Secondary,Male,0,Oceania
North Macedonia,0,Lower_Secondary,Male,0,Europe
Norway,0,Lower_Secondary,Male,0,Europe
Oman,0,Lower_Secondary,Male,0,Asia
Pakistan,0,Lower_Secondary,Male,0,Asia
Palau,0,Lower_Secondary,Male,0,Oceania
Panama,13,Lower_Secondary,Male,0,Americas
Papua New Guinea,10,Lower_Secondary,Male,0,Oceania
Paraguay,0,Lower_Secondary,Male,0,Americas
Peru,3,Lower_Secondary,Male,0,Americas
Philippines,14,Lower_Secondary,Male,0,Asia
Poland,1,Lower_Secondary,Male,0,Europe
Portugal,0,Lower_Secondary,Male,0,Europe
Qatar,1,Lower_Secondary,Male,0,Asia
South Korea,3,Lower_Secondary,Male,0,Asia
Moldova,15,Lower_Secondary,Male,0,Europe
Romania,9,Lower_Secondary,Male,0,Europe
Russia,2,Lower_Secondary,Male,0,Europe
Rwanda,6,Lower_Secondary,Male,0,Africa
Saint Kitts and Nevis,0,Lower_Secondary,Male,0,Americas
Saint Lucia,9,Lower_Secondary,Male,0,Americas
Saint Vincent and the Grenadines,1,Lower_Secondary,Male,0,Americas
Samoa,0,Lower_Secondary,Male,0,Oceania
San Marino,0,Lower_Secondary,Male,0,Europe
Saudi Arabia,0,Lower_Secondary,Male,0,Asia
Senegal,0,Lower_Secondary,Male,0,Africa
Serbia,2,Lower_Secondary,Male,0,Europe
Seychelles,0,Lower_Secondary,Male,0,Africa
Sierra Leone,49,Lower_Secondary,Male,0,Africa
Singapore,0,Lower_Secondary,Male,0,Asia
Slovakia,5,Lower_Secondary,Male,0,Europe
Slovenia,2,Lower_Secondary,Male,0,Europe
Solomon Islands,0,Lower_Secondary,Male,0,Oceania
Somalia,0,Lower_Secondary,Male,0,Africa
South Africa,16,Lower_Secondary,Male,0,Africa
South Sudan,49,Lower_Secondary,Male,0,Africa
Spain,1,Lower_Secondary,Male,0,Europe
Sri Lanka,0,Lower_Secondary,Male,0,Asia
Palestinian National Authority,4,Lower_Secondary,Male,0,Asia
Sudan,33,Lower_Secondary,Male,0,Africa
Suriname,19,Lower_Secondary,Male,0,Americas
Sweden,0,Lower_Secondary,Male,0,Europe
Switzerland,1,Lower_Secondary,Male,0,Europe
Syria,37,Lower_Secondary,Male,0,Asia
Tajikistan,0,Lower_Secondary,Male,0,Asia
Thailand,0,Lower_Secondary,Male,0,Asia
East Timor,12,Lower_Secondary,Male,0,Asia
Togo,15,Lower_Secondary,Male,0,Africa
Tokelau,0,Lower_Secondary,Male,0,Oceania
