Countries and areas,OOSR,Age_group,Gender,High_OOSR,Region
Afghanistan,44,Upper_Secondary,Male,0,Asia
Albania,21,Upper_Secondary,Male,0,Europe
Algeria,0,Upper_Secondary,Male,0,Africa
Andorra,0,Upper_Secondary,Male,0,Europe
Angola,0,Upper_Secondary,Male,0,Africa
Anguilla,0,Upper_Secondary,Male,0,Americas
Antigua and Barbuda,14,Upper_Secondary,Male,0,Americas
Argentina,15,Upper_Secondary,Male,0,Americas
Armenia,16,Upper_Secondary,Male,0,Asia
Australia,10,Upper_Secondary,Male,0,Oceania
Austria,10,Upper_Secondary,Male,0,Europe
Azerbaijan,0,Upper_Secondary,Male,0,Asia
The Bahamas,29,Upper_Secondary,Male,0,Americas
Bahrain,18,Upper_Secondary,Male,0,Asia
Bangladesh,41,Upper_Secondary,Male,0,Asia
Barbados,7,Upper_Secondary,Male,0,Americas
Belarus,6,Upper_Secondary,Male,0,Europe
Belgium,1,Upper_Secondary,Male,0,Europe
Belize,38,Upper_Secondary,Male,0,Americas
Benin,46,Upper_Secondary,Male,0,Africa
Bhutan,33,Upper_Secondary,Male,0,Asia
Bolivia,22,Upper_Secondary,Male,0,Americas
Bosnia and Herzegovina,22,Upper_Secondary,Male,0,Europe
Botswana,0,Upper_Secondary,Male,0,Africa
Brazil,16,Upper_Secondary,Male,0,Americas
British Virgin Islands,24,Upper_Secondary,Male,0,Americas
Brunei,19,Upper_Secondary,Male,0,Asia
Bulgaria,10,Upper_Secondary,Male,0,Europe
Burkina Faso,67,Upper_Secondary,Male,1,Africa
Burundi,67,Upper_Secondary,Male,1,Africa
Cape Verde,29,Upper_Secondary,Male,0,Africa
Cambodia,0,Upper_Secondary,Male,0,Asia
Cameroon,50,Upper_Secondary,Male,0,Africa
Canada,6,Upper_Secondary,Male,0,Americas
Central African Republic,0,Upper_Secondary,Male,0,Africa
Chad,71,Upper_Secondary,Male,1,Africa
Chile,5,Upper_Secondary,Male,0,Americas
China,0,Upper_Secondary,Male,0,Asia
Colombia,22,Upper_Secondary,Male,0,Americas
Comoros,52,Upper_Secondary,Male,1,Africa
Republic of the Congo,0,Upper_Secondary,Male,0,Africa
Cook Islands,30,Upper_Secondary,Male,0,Oceania
Costa Rica,7,Upper_Secondary,Male,0,Americas
Ivory Coast,52,Upper_Secondary,Male,1,Africa
Croatia,16,Upper_Secondary,Male,0,Europe
Cuba,20,Upper_Secondary,Male,0,Americas
Cyprus,6,Upper_Secondary,Male,0,Asia
Czech Republic,3,Upper_Secondary,Male,0,Europe
North Korea,0,Upper_Secondary,Male,0,Asia
Democratic Republic of the Congo,0,Upper_Secondary,Male,0,Africa
Denmark,11,Upper_Secondary,Male,0,Europe
Djibouti,66,Upper_Secondary,Male,1,Africa
Dominica,19,Upper_Secondary,Male,0,Americas
Dominican Republic,23,Upper_Secondary,Male,0,Americas
Ecuador,20,Upper_Secondary,Male,0,Americas
Egypt,23,Upper_Secondary,Male,0,Africa
El Salvador,33,Upper_Secondary,Male,0,Americas
Equatorial Guinea,0,Upper_Secondary,Male,0,Africa
Eritrea,45,Upper_Secondary,Male,0,Africa
Estonia,1,Upper_Secondary,Male,0,Europe
Eswatini,14,Upper_Secondary,Male,0,Africa
Ethiopia,73,Upper_Secondary,Male,1,Africa
Fiji,0,Upper_Secondary,Male,0,Oceania
Finland,3,Upper_Secondary,Male,0,Europe
France,5,Upper_Secondary,Male,0,Europe
Gabon,0,Upper_Secondary,Male,0,Africa
The Gambia,0,Upper_Secondary,Male,0,Africa
Georgia,7,Upper_Secondary,Male,0,Asia
Germany,12,Upper_Secondary,Male,0,Europe
Ghana,28,Upper_Secondary,Male,0,Africa
Greece,4,Upper_Secondary,Male,0,Europe
Grenada,8,Upper_Secondary,Male,0,Americas
Guatemala,57,Upper_Secondary,Male,1,Americas
Guinea,59,Upper_Secondary,Male,1,Africa
Guinea0Bissau,0,Upper_Secondary,Male,0,Africa
Guyana,0,Upper_Secondary,Male,0,Americas
Haiti,0,Upper_Secondary,Male,0,Americas
Vatican City,0,Upper_Secondary,Male,0,Europe
Honduras,58,Upper_Secondary,Male,1,Americas
Hungary,12,Upper_Secondary,Male,0,Europe
Iceland,15,Upper_Secondary,Male,0,Europe
India,47,Upper_Secondary,Male,0,Asia
Indonesia,23,Upper_Secondary,Male,0,Asia
Iran,25,Upper_Secondary,Male,0,Asia
Iraq,0,Upper_Secondary,Male,0,Asia
Republic of Ireland,2,Upper_Secondary,Male,0,Europe
Israel,0,Upper_Secondary,Male,0,Asia
Italy,6,Upper_Secondary,Male,0,Europe
Jamaica,25,Upper_Secondary,Male,0,Americas
Japan,0,Upper_Secondary,Male,0,Asia
Jordan,48,Upper_Secondary,Male,0,Asia
Kazakhstan,0,Upper_Secondary,Male,0,Asia
Kenya,0,Upper_Secondary,Male,0,Africa
Kiribati,0,Upper_Secondary,Male,0,Oceania
Kuwait,20,Upper_Secondary,Male,0,Asia
Kyrgyzstan,30,Upper_Secondary,Male,0,Asia
Laos,42,Upper_Secondary,Male,0,Asia
Latvia,5,Upper_Secondary,Male,0,Europe
Lebanon,0,Upper_Secondary,Male,0,Asia
Lesotho,38,Upper_Secondary,Male,0,Africa
Liberia,20,Upper_Secondary,Male,0,Africa
Libya,0,Upper_Secondary,Male,0,Africa
Liechtenstein,10,Upper_Secondary,Male,0,Europe
Lithuania,4,Upper_Secondary,Male,0,Europe
Luxembourg,22,Upper_Secondary,Male,0,Europe
Madagascar,63,Upper_Secondary,Male,1,Africa
Malawi,62,Upper_Secondary,Male,1,Africa
Malaysia,41,Upper_Secondary,Male,0,Asia
Maldives,0,Upper_Secondary,Male,0,Asia
Mali,71,Upper_Secondary,Male,1,Africa
Malta,10,Upper_Secondary,Male,0,Europe
Marshall Islands,45,Upper_Secondary,Male,0,Oceania
Mauritania,63,Upper_Secondary,Male,1,Africa
Mauritius,25,Upper_Secondary,Male,0,Africa
Mexico,28,Upper_Secondary,Male,0,Americas
Federated States of Micronesia,0,Upper_Secondary,Male,0,Oceania
Monaco,0,Upper_Secondary,Male,0,Europe
Mongolia,22,Upper_Secondary,Male,0,Asia
Montenegro,12,Upper_Secondary,Male,0,Europe
Montserrat,0,Upper_Secondary,Male,0,Americas
Morocco,26,Upper_Secondary,Male,0,Africa
Mozambique,65,Upper_Secondary,Male,1,Africa
Myanmar,47,Upper_Secondary,Male,0,Asia
Namibia,0,Upper_Secondary,Male,0,Africa
Nauru,52,Upper_Secondary,Male,1,Oceania
Nepal,26,Upper_Secondary,Male,0,Asia
Netherlands,1,Upper_Secondary,Male,0,Europe
New Zealand,4,Upper_Secondary,Male,0,Oceania
Nicaragua,0,Upper_Secondary,Male,0,Americas
Niger,84,Upper_Secondary,Male,1,Africa
Nigeria,0,Upper_Secondary,Male,0,Africa
Niue,0,Upper_Secondary,Male,0,Oceania
North Macedonia,0,Upper_Secondary,Male,0,Europe
Norway,8,Upper_Secondary,Male,0,Europe
Oman,8,Upper_Secondary,Male,0,Asia
Pakistan,0,Upper_Secondary,Male,0,Asia
Palau,0,Upper_Secondary,Male,0,Oceania
Panama,35,Upper_Secondary,Male,0,Americas
Papua New Guinea,40,Upper_Secondary,Male,0,Oceania
Paraguay,33,Upper_Secondary,Male,0,Americas
Peru,15,Upper_Secondary,Male,0,Americas
Philippines,24,Upper_Secondary,Male,0,Asia
Poland,4,Upper_Secondary,Male,0,Europe
Portugal,2,Upper_Secondary,Male,0,Europe
Qatar,0,Upper_Secondary,Male,0,Asia
South Korea,4,Upper_Secondary,Male,0,Asia
Moldova,36,Upper_Secondary,Male,0,Europe
Romania,21,Upper_Secondary,Male,0,Europe
Russia,3,Upper_Secondary,Male,0,Europe
Rwanda,50,Upper_Secondary,Male,0,Africa
Saint Kitts and Nevis,4,Upper_Secondary,Male,0,Americas
Saint Lucia,20,Upper_Secondary,Male,0,Americas
Saint Vincent and the Grenadines,16,Upper_Secondary,Male,0,Americas
Samoa,15,Upper_Secondary,Male,0,Oceania
San Marino,51,Upper_Secondary,Male,1,Europe
Saudi Arabia,3,Upper_Secondary,Male,0,Asia
Senegal,0,Upper_Secondary,Male,0,Africa
Serbia,14,Upper_Secondary,Male,0,Europe
Seychelles,24,Upper_Secondary,Male,0,Africa
Sierra Leone,64,Upper_Secondary,Male,1,Africa
Singapore,0,Upper_Secondary,Male,0,Asia
Slovakia,11,Upper_Secondary,Male,0,Europe
Slovenia,2,Upper_Secondary,Male,0,Europe
Solomon Islands,0,Upper_Secondary,Male,0,Oceania
Somalia,0,Upper_Secondary,Male,0,Africa
South Africa,22,Upper_Secondary,Male,0,Africa
South Sudan,57,Upper_Secondary,Male,1,Africa
Spain,2,Upper_Secondary,Male,0,Europe
Sri Lanka,18,Upper_Secondary,Male,0,Asia
Palestinian National Authority,32,Upper_Secondary,Male,0,Asia
Sudan,53,Upper_Secondary,Male,1,Africa
Suriname,42,Upper_Secondary,Male,0,Americas
Sweden,1,Upper_Secondary,Male,0,Europe
Switzerland,16,Upper_Secondary,Male,0,Europe
Syria,66,Upper_Secondary,Male,1,Asia
Tajikistan,0,Upper_Secondary,Male,0,Asia
Thailand,21,Upper_Secondary,Male,0,Asia
East Timor,27,Upper_Secondary,Male,0,Asia
Togo,47,Upper_Secondary,Male,0,Africa
Tokelau,53,Upper_Secondary,Male,1,Oceania
Tonga,43,Upper_Secondary,Male,0,Oceania
